Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
SBICARD,13,2143,2025-08-21 23:05:51,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://scanx.trade/stock-market-news/stocks/sbi-card-announces-changes-to-reward-points-and-card-protection-benefits/17317036#:~:text=SBI%20Cards%20to%20Announce%20Q4,24%20Feb%2024%2C%202025"
Link_2,"https://scanx.trade/stock-market-news/stocks/sbi-card-announces-changes-to-reward-points-and-card-protection-benefits/17317036#:~:text=Market%20Impact,propositions%20it%20brings%20to%20cardholders."
Link_3,"https://m.economictimes.com/wealth/borrow/sbi-credit-card-rule-change-these-sbi-credit-card-customers-not-to-get-reward-points-for-digital-gaming-platforms-govt-related-transactions/articleshow/123408209.cms#:~:text=Borrow-,SBI%20credit%20card%20rule%20change:%20No%20reward%20points%20on%20digital,points%20on%20select%20credit%20cards."
Link_4,"https://www.business-standard.com/markets/news/sbi-cards-shares-drop-6-as-profit-takes-a-hit-in-q1-what-should-you-do-125072800171_1.html#:~:text=Home%20/%20Markets%20/%20News%20/%20SBI,SBI%20Cards%20Q1FY26%20earnings"
Link_5,"https://www.sbicard.com/en/customer-notices.page#:~:text=Renewal%20benefit%20(1%20Economy%20Ticket,be%20chargeable%20in%20such%20cases."
Link_6,https://www.livemint.com/market/market-stats/sbi-cards-and-payment-services-q1-results-s0003139
Link_7,"https://www.business-standard.com/finance/news/credit-card-spends-rise-14pc-yoy-in-may-led-by-hdfc-sbi-icici-growth-125062400916_1.html#:~:text=Credit%20card%20spends%20up%2014.5,lead%20%7C%20Finance%20News%20%2D%20Business%20Standard"
Link_8,"https://www.sbicard.com/en/personal/credit-cards/travel/yatra-sbi-card.page#:~:text=Terms%20and%20Conditions,interest%20and%20repay%20in%20EMIs"
Link_9,"https://scanx.trade/stock-market-news/earnings/sbi-card-reports-12-revenue-growth-and-4-profit-increase-in-q1/14998918#:~:text=SBI%20Cards%20and%20Payment%20Services,%2C%20and%20co%2Dbranded%20offerings."
Link_10,"https://www.stocksmantra.com/credit-card-market-in-india-trends-insights-and-future-outlook/#:~:text=HDFC%20Bank%20leads%20with%20a,issuance%20that%20is%20publicly%20listed."
Link_11,"https://www.msn.com/en-in/money/topstories/sbi-credit-card-rules-change-from-sept-1-these-users-will-not-get-reward-points-on-gaming-and-govt-spends/ar-AA1KSFFG?ocid=finance-verthp-feeds#:~:text=Zee%20News-,SBI%20Credit%20Card%20Rules%20Change%20From%20Sept%201:%20These%20Users,On%20Gaming%20And%20Govt%20Spends&text=by%20Anupama%20Jha-,New%20Delhi:%20Starting%20September%201%2C%202025%2C%20SBI%20Card%20is,its%20credit%20card%20rewards%20programme.&text=Coldeez-,Once%20the%20changes%20take%20effect%2C%20SBI%20credit%20card%20users%20will,in%20December%202024%20as%20well."
Link_12,https://www.thehindubusinessline.com/money-and-banking/bom-sbi-card-roll-out-co-branded-cards-on-rupay-visa/article69948849.ece
Link_13,"https://www.timesnownews.com/business-economy/personal-finance/sbi-credit-card-rule-change-no-reward-points-for-digital-gaming-govt-transactions-for-these-card-holders-article-152496553#:~:text=SBI%20Card%20will%20be%20revising,2%20Lakh%20Crore%20Industry%20%2D%20Explained"

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Reward program revisions:EffectiveSeptember 1, 2025, SBI Card will revise its reward program. Certain cardholders will no longer earn reward points on spends on digital gaming platforms/merchants and government-related transactions. This affects Lifestyle Home Centre SBI Card, Lifestyle Home Centre SBI Card SELECT, and Lifestyle Home Centre SBI Card PRIME variants.

Yatra SBI Credit Card changes:As ofMay 1, 2025, the welcome gift and travel benefits associated with the Yatra SBI Credit Card were discontinued. Furthermore, issuance of this card ceased onMarch 28, 2025.

Club Vistara SBI Card benefit changes:For Club Vistara SBI Cards due for renewal afterApril 1, 2025, the renewal benefit (1 Economy Ticket Voucher) and milestone benefits will be discontinued. The renewal fee of ₹1499 will be waived in such cases. Similarly, for Club Vistara SBI Card PRIME renewals afterApril 1, 2025, the renewal benefit (1 Premium Economy Ticket Voucher) and milestone benefits will be discontinued, and the renewal fee of ₹2999 will be waived.

Q4 Results & Leadership Change:SBI Cards announced its Q4 results onApril 24, 2025and appointed a new nominee director onApril 18, 2025. Salila Pande assumed the role of MD & CEO onApril 1, 2025.

Bank of Maharashtra co-branded card:SBI Cards and Bank of Maharashtra launched co-branded credit cards on both RuPay and Visa platforms. The specific features and benefits of these cards are yet to be disclosed.

General Credit Card Market Trends (Relevant to SBICARD):Credit card spending in India showed a robust year-on-year increase of 14.5% in May 2025, reaching ₹1.89 trillion, driven by strong card issuances. HDFC Bank remains the leading issuer in terms of card base and spending volume, with SBI Card in the second position for card-in-force market share (around 19%).

Here's a summary of the latest news and updates related to SBICARD (SBI Cards and Payment Services Ltd.) as on May 1, 2025 :

It's important to note that information regarding specific SBICARD performance data, like detailed Q1 results for the current year (FY26), became available later in the year, well after May 1, 2025."
