Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
MAHABANK,13,1735,2025-08-21 21:04:26,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://m.economictimes.com/wealth/save/from-atm-fees-to-fd-rates-key-financial-changes-effective-may-1-2025/articleshow/120787364.cms#:~:text=Starting%20May%201%2C%202025%2C%20significant,and%20fixed%20deposit%20interest%20rates."
Link_2,"https://blog.readyaccountant.com/New_Rules_for_RBI_From_May_1,_2025.#:~:text=As%20of%20May%201%2C%202025,Indian%20banking%20with%20global%20standards."
Link_3,https://bankofmaharashtra.in/writereaddata/documentlibrary/df308e24-96ee-4260-a7a9-c9ed77168638.pdf
Link_4,"https://uk.marketscreener.com/quote/stock/BANK-OF-MAHARASHTRA-9059511/news/Bank-of-Maharashtra-Amalgamation-of-Regional-Rural-Banks-into-one-Regional-Rural-Bank-49568027/#:~:text=In%20exercise%20of%20the%20powers,sponsorship%20of%20Bank%20of%20Maharashtra."
Link_5,https://bankofmaharashtra.in/writereaddata/documentlibrary/1eca87ff-6015-4f91-a77f-767a5cb618f0.pdf
Link_6,"https://www.kotaksecurities.com/financial-results/bank-of-maharashtra-q1fy26-results/#:~:text=2025%2D26%20results?-,Key%20highlights%20of%20Bank%20of%20Maharashtra%20Q1%20FY%202025%2D26,EBITDA:%20%E2%82%B95464.90%20crore"
Link_7,https://www.samco.in/knowledge-center/articles/bank-of-maharashtra-q1-results-2025-net-profit-jumps-23-to-1593-crore-nii-up-17-60/
Link_8,"https://www.livemint.com/market/stock-market-news/bank-of-maharashtra-q1-results-2025-net-profit-rises-23-to-1-592-crore-nii-grows-1760-11752564710224.html#:~:text=Bank%20of%20Maharashtra%20Q1%20results%202025:%20According%20to%20its%20regulatory,6%2C769%20crore%20a%20year%20earlier.&text=08%20PM%20IST-,Bank%20of%20Maharashtra%20Q1%20results%202025:%20Net%20profit%20rises%2023,crore%2C%20NII%20grows%2017.60%25."
Link_9,"https://examguru.co.in/current-affairs/article/rbi-approves-merger-of-national-and-cosmos-cooperative-banks#:~:text=Merger%20Rationale,and%20improving%20overall%20financial%20resilience."
Link_10,"https://www.indiatoday.in/business/personal-finance/story/rbi-raises-atm-charges-rs-23-from-may-1-know-the-details-here-2717434-2025-04-30#:~:text=In%20Short,five%20free%20transactions%20per%20month."
Link_11,https://www.angelone.in/news/rbi-revises-atm-rules-know-free-transaction-limits-and-new-rs-23-charge-effective-may-2025
Link_12,https://bankofmaharashtra.in/writereaddata/documentlibrary/e09a2a33-7198-4aa5-863a-f08bb9280b80.pdf
Link_13,"https://m.economictimes.com/industry/banking/finance/banking/regional-rural-banks-count-will-reduce-to-46-as-government-starts-consolidation/articleshow/10937277.cms#:~:text=The%20government%20has%20kicked%20off%20a%20major,in%20the%20country's%20scheme%20of%20financial%20inclusion."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Reduced Free Transactions in Metro Cities:Customers in metro cities now have onlythree free transactions per monthat other banks' ATMs, down from five.

Increased Charges Beyond Free Limits:Exceeding the free transaction limit incurs a charge of₹23 per transaction(plus GST), up from ₹21.

OTP-based Verification for Large Withdrawals:Withdrawals above ₹5,000 may require OTP verification for added security.

Cardless Withdrawals via UPI:Banks, including MAHABANK, are mandated to enable cardless cash withdrawals using UPI across all ATMs.

Merger of Maharashtra Gramin Bank and Vidharbha Konkan Gramin Bank:These RRBs were merged into a single entity calledMaharashtra Gramin Bank, sponsored by Bank of Maharashtra, with its head office at Chhatrapati Sambhajinagar.

Effective Date:The amalgamation was effective from May 1, 2025.

Objective:The merger aimed to strengthen the financial health and operational reach of the participating banks, aligning with the broader consolidation efforts within India's cooperative banking sector.

As of May 1, 2025, Bank of Maharashtra (MAHABANK) was impacted by changes in ATM transaction rules and a significant regional rural bank amalgamation.

RBI's New ATM Transaction Rules (Effective May 1, 2025)

The Reserve Bank of India (RBI) implemented revised ATM transaction rules, affecting MAHABANK and its customers. The changes include:

Consolidation of Regional Rural Banks

A significant development for MAHABANK on May 1, 2025, was the amalgamation of two regional rural banks (RRBs) sponsored by it:

Note: While the provided search results contain information about MAHABANK's Q1 FY26 results announced in July 2025, these details are outside the specified date range of May 1, 2025."
