Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
KALYANKJIL,11,2609,2025-08-21 22:20:37,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://www.tradingview.com/news/moneycontrol:ab6c9cdbc094b:0-kalyan-jewellers-india-shares-surge-5-49-amid-volume-surge/#:~:text=Net%20profit%20also%20grew%20substantially,statement%20highlights%20recent%20financial%20performance.&text=The%20sales%20for%20the%20quarter,%2C%20investing%2C%20and%20financing%20activities.&text=Balance%20Sheet:,assets%2C%20liabilities%2C%20and%20equity.&text=Financial%20Ratios:,company's%20performance%20and%20financial%20health.&text=Kalyan%20Jewellers%20India%20announced%20a,as%20of%20August%208%2C%202025."
Link_2,"https://www.indiratrade.com/blog/kalyan-jewellers-fy25-sparkling-growth-amidst-market-volatility/9427#:~:text=Kalyan%20Jewellers%20FY25:%20Sparkling%20Growth,catering%20to%20evolving%20consumer%20preferences."
Link_3,"https://economictimes.indiatimes.com/kalyan-jewellers-india-ltd/stocks/companyid-2002614.cms#:~:text=Dividend%20Announcement,last%20traded%20price%20is%20511.00"
Link_4,"https://www.businesstoday.in/markets/stocks/story/kalyan-jewellers-q4-fy25-update-consolidated-revenue-growth-up-by-37-stock-down-3-470931-2025-04-07#:~:text=%22We%20launched%2025%20Kalyan%20showrooms,cent%20in%202025%20so%20far."
Link_5,"https://in.fashionnetwork.com/news/Kalyan-jewellers-opens-25-stores-in-q4-witnesses-37-percent-revenue-growth,1718559.html#:~:text=The%20company's%20reported%20revenue%20growth,in%20a%20day"
Link_6,"https://aliceblueonline.com/stock-market-news/kalyan-jewellers-q4-update-company-announces-consolidated-revenue-growth-of-approximately-37-percent-yoy/#:~:text=approximately%2037%25%20YoY-,Kalyan%20Jewellers%20Q4%20update:%20Company%20announces%20consolidated%20revenue%20growth%20of,extreme%20fluctuations%20in%20gold%20prices."
Link_7,"https://brandequity.economictimes.indiatimes.com/news/business-of-brands/kalyan-jewellers-eyeing-expansion-through-franchise-model-to-reduce-debt/123087964#:~:text=%22We%20are%20planning%20to%20open,our%20lifestyle%20jewellery%20brand%20Candere."
Link_8,"https://www.moneyworks4me.com/company/news/index/id/763982#:~:text=418.81%20(0.52%25)-,Kalyan%20Jewellers%20planning%20to%20open%20170%20stores%20through%20franchise%20model,1%20Year%20Price%20Chart"
Link_9,"https://www.business-standard.com/topic/kalyan-jewellers#:~:text=Kalyan%20Jewellers%20Kalyan%20Jewellers%20eyes%20expansion%20through,test%20200%2DDMA%20hurdle;%20what%20to%20expect%20next?"
Link_10,"https://www.icicidirect.com/stocks/kalyan-jewellers-india-ltd-share-price#:~:text=Consolidated%20revenue%20and%20PAT%20for%20Q4FY25%20was,a%20growth%20of%2037%25%20and%2036%25%20respectively."
Link_11,"https://www.sharekhan.com/stock/kkalpana-plastick-ltd#:~:text=Kkalpana%20Plastick%20%2D%20Audited%20Financial%20Results%20For,And%20Financial%20Year%20Ended%2031St%20March%2C%202025."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Strong Revenue Growth:Kalyan Jewellers announced a strong consolidated revenue growth of approximately 37% year-on-year for Q4 FY25, despite volatile gold prices.

India Operations Lead:Revenue from India operations grew by approximately 39% compared to Q4 FY24, driven by robust wedding demand and healthy same-store-sales-growth (SSSG) of around 21%.

New Showroom Launches:The company launched 25 new Kalyan showrooms across India during Q4 FY25 and an additional 3 showrooms in the first week of April 2025, expanding its domestic presence.

Middle East Performance:The Middle East operations achieved a revenue growth of approximately 24%, contributing around 12% to the consolidated revenue.

Candere Revenue Decline:The digital-first jewelry platform, Candere, experienced a revenue de-growth of approximately 22% during Q4 FY25.

Optimistic Outlook:Kalyan Jewellers expressed optimism about the ongoing quarter, noting encouraging trends in advance collections for Akshaya Tritiya and wedding purchases.

Total Showrooms:As of March 31, 2025, the company had a total of 388 showrooms across India and the Middle East (Kalyan India – 278, Kalyan Middle East – 36, Kalyan USA – 1, Candere – 73).

Expansion Plans for FY26:Kalyan Jewellers announced plans to launch 170 new showrooms in FY26, including 75 Kalyan showrooms (FOCO model) in non-South India and 80 Candere showrooms. The company will expand through the franchise model to reduce debt.

FY25 Revenue and Profit:Kalyan Jewellers reported a consolidated revenue of Rs 25,045 crore, a 35% increase from FY24. The consolidated net profit (PAT) was Rs 714 crore, up 20% from the previous fiscal year.

Q4 FY25 Performance:Q4 FY25 revenue reached Rs 6,182 crore, a 37% year-on-year growth. The Q4 FY25 net profit was Rs 188 crore, a 36% increase compared to the same quarter last year.

Final Dividend:Kalyan Jewellers announced a final dividend of Rs 1.5 per share (15%) for FY25, with a record date of September 5, 2025.

Note: While some sources provide information about events occurring after May 1, 2025, this summary focuses on news and updates specifically related to that date, with context from announcements made on or before. For instance, the company's Q4 FY25 performance was announced on April 7, 2025, though the financial year ended on March 31, 2025. Similarly, expansion plans for FY26 were also announced prior to May 1, 2025. This summary aims to present a comprehensive view of the company's activities as they were known around May 1, 2025, and provides additional context for a clearer picture of the company's performance."
