Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
COLPAL,7,1503,2025-08-21 21:20:24,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://www.angelone.in/news/colgate-palmolive-india-interim-dividend-record-date-tomorrow-may-28-2025#:~:text=Colgate%2DPalmolive%20(India)%20Limited's,Palmolive%20(India)%20Share%20Price%20Performance"
Link_2,"https://www.angelone.in/news/share-market/colgate-palmolive-india-interim-dividend-record-date-tomorrow-may-28-2025#:~:text=March%2031%2C%202025.-,Colgate%2DPalmolive%20(India)%20Interim%20Dividend%20Record%20Date,date%2C%20May%2028%2C%202025."
Link_3,https://www.colgateinvestors.co.in/pdf/cpil-analyst-meet-transcript-220525.pdf
Link_4,"https://www.colgateinvestors.co.in/news/Announcement-of-Results-for-the-Quarter-and-Year-Ended-March-31,-2025#:~:text=Net%20Sales:%20Colgate%2DPalmolive%20(,the%20same%20period%20last%20year."
Link_5,https://www.youtube.com/watch?v=OqlRkP4O2RI&t=124
Link_6,"https://in.investing.com/news/transcripts/earnings-call-transcript-colgatepalmolive-q1-2025-reports-sales-growth-amid-tariff-impacts-93CH-4792559#:~:text=Earnings%20vs.-,Forecast,through%20productivity%20enhancements%20and%20innovation."
Link_7,"https://www.jmfinancialservices.in/market-news-and-insights/1603089#:~:text=and%20Insights%20Details-,Colgate%2DPalmolive%20(India)%20fixes%20record%20date%20for%202nd%20interim,regular%20returns/capital%20protection%20schemes."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"April 25, 2025:Investing.com India reportedthat Colgate-Palmolive Company (CL), the US parent company, released its Q1 2025 earnings call transcript.

Colgate-Palmolive (India) announced its financial results for the quarter and year ended March 31, 2025.

According to JM Financial Services, the company fixed May 28, 2025, as the record date for the second interim dividend of ₹27 per equity share for FY 2025.

May 22, 2025:The transcript from Colgate-Palmolive's Analyst Meet 2025 indicated strong margins despite increased brand investments.

May 27, 2025:Angel One reportedthat the Board declared a ₹27 interim dividend with a record date of May 28, 2025, and payment starting June 16, 2025.

May 21, 2025:Colgate-Palmolive (India) announced its financial results for the quarter and year ended March 31, 2025.According to JM Financial Services, the company fixed May 28, 2025, as the record date for the second interim dividend of ₹27 per equity share for FY 2025.

As of May 1, 2025, no specific news or updates directly from Colgate-Palmolive (India) Limited (COLPAL) have been reported. However, some important news items from a few days before and after May 1, 2025, may be relevant for shareholders and potential investors:

Note: The information above is based on the limited data available for the specific date requested. The news and updates provided here are from a few days before and after May 1, 2025, which may provide some context relevant to the time period requested by the user."
