Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
NYKAA,7,1850,2025-08-21 21:33:53,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://www.moneycontrol.com/news/tags/nykaa.html#:~:text=MSCI%20May%20rejig:%20Nykaa%20could,indicates%20sustained%20performance%20over%20quarters."
Link_2,"https://www.ndtvprofit.com/quarterly-earnings/nykaa-q4-results-2025-on-may-30-check-key-details-here#:~:text=In%20a%20stock%20exchange%20filing,2.75%25%20in%20the%20past%20month."
Link_3,https://www.gyftr.com/blog/upcoming-nykaa-sale/
Link_4,"https://www.business-standard.com/companies/news/nykaa-reports-steady-bpc-fashion-growth-eyes-ebitda-breakeven-in-fashion-125070900688_1.html#:~:text=The%20business%20update%20from%20Nykaa,growing%20at%20a%20higher%20pace."
Link_5,"https://www.livemint.com/companies/nykaa-q1-results-earnings-financial-performance-beauty-business-fashion-business-e-commerce-competition-11755008319811.html#:~:text=Push%20for%20rapid%20delivery,growth%20in%20the%20coming%20quarters.%E2%80%9D"
Link_6,"https://couponzania.com/blog/nykaa-upcoming-sale#:~:text=Table_title:%20Nykaa%20Sales%20Calendar%202025:%20Key%20Dates,Dates:%206th%20to%2012th%20May%202025%20%7C"
Link_7,https://www.nykaa.com/media/wysiwyg/uiTools/2025-5/Outcome-of-Board-Meeting-on-Financial-Results-Q4-and-FY25.pdf

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"MSCI India Standard Index:Nykaa (FSN E-Commerce Ventures) was projected to enter the MSCI India Standard Index in May 2025, potentially attracting around $210 million in inflows, according to JM Financial.

Neutral Call Maintained:Nomura maintained a ""neutral"" rating on Nykaa shares, anticipating mid-twenties revenue growth in Q4 FY25.

Stable BPC, Improved Fashion Growth:Nykaa reported stable growth in its beauty and personal care (BPC) segment and an improvement in the fashion segment.

Q4 FY25 Projections:Revenue growth for the full financial year 2025 was estimated to be in the mid-twenties, consistent with previous quarters. BPC segment revenue growth was expected to be around 25-26% year-on-year (YoY), with Gross Merchandise Value (GMV) growing slightly faster.

House of Nykaa Brands:Nykaa's owned brands within the ""House of Nykaa"" portfolio were experiencing higher growth rates.

Q4 FY25 Earnings:A board meeting was scheduled for May 30, 2025, to consider and approve the audited standalone and consolidated financial results for the quarter and financial year ended March 31, 2025.

Trading Window Closure:The trading window for dealing in Nykaa securities was closed for designated persons from March 25 to June 1, 2025.

Upcoming Sales:Nykaa was planning various sales events around this time, including the ""Pink Summer Sale"" with discounts up to 60% on various products and an ""Its My Birthday Sale"" between April 13-21, 2025.

Rapid Delivery Expansion:Nykaa was reportedly planning to expand its rapid delivery service, Nykaa Now, to more cities.

Market Index Inclusion & Analyst Outlook:

Business Performance Updates:

Note: This summary focuses on news and updates available as of May 1, 2025. Events and outcomes after this date, such as the actual Q4 FY25 results and their impact on the stock, are not included here."
