Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
BAJAJ-AUTO,10,1113,2025-08-21 20:57:17,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://hdfcsky.com/news/bajaj-autos-may-sales-up-by-8-percent#:~:text=Bajaj%20Auto%20Ltd%20reported%20total,robust%20recovery%20in%20export%20volumes."
Link_2,"https://www.storyboard18.com/brand-makers/bajaj-auto-sales-surge-8-in-may-2025-exports-drive-growth-68329.htm#:~:text=Bajaj%20Auto%20has%20witnessed%20an,%2D%2Dan%20increase%20of%2020%25."
Link_3,"https://www.indiainfoline.com/company/bajaj-auto-ltd-historical-data#:~:text=Bajaj%20Auto:%20Related%20NEWS,Copy%20Link"
Link_4,"https://www.thehindubusinessline.com/companies/bajaj-bets-big-on-brazils-2w-market-launches-pulsar-150cc/article69956296.ece#:~:text=%E2%80%9CWe%20will%20continue%20the%20strategy,Companies%20to%20follow"
Link_5,"https://ackodrive.com/news/bajaj-to-launch-up-to-5-6-cng-motorcycles-by-2025/#:~:text=The%20launch%20of%20the%20first,powered%20Bike%20Spotted%20On%20Test)"
Link_6,https://www.equitybulls.com/category.php?id=358548
Link_7,"https://ackodrive.com/news/auto-sales-may-2025-bajaj-s-export-continues-to-drive-growth/#:~:text=Bajaj%20Auto%20reported%20that%20its%20business%20cumulatively,while%20the%20rest%201%2C58%2C888%20units%20were%20exported."
Link_8,"https://www.financialexpress.com/auto/bike-news/two-wheeler-sales-may-2025-scooters-see-healthy-yoy-growth-motorcycle-sales-flat/3882557/#:~:text=In%20May%202025%2C%20two%2Dwheeler%20sales%20saw%20a,increase%2C%20registering%203%2C80%2C979%20units%20in%20May%202025."
Link_9,"https://auto.economictimes.indiatimes.com/news/industry/bajaj-autos-strategic-move-in-brazil-expanding-in-a-competitive-market/123361765#:~:text=Bajaj%20Auto%20starts%20Brazil%20journey%20on%20a,aimed%20at%20the%20belly%20of%20the%20market."
Link_10,"https://www.manufacturingtodayindia.com/bajaj-auto-buys-ktm-majority-stake#:~:text=Bajaj%20Auto%20reappoints%20Rajiv%20Bajaj%20as%20MD,profit%20after%20tax%2C%20reaching%20Rs%202%2C216%20crore."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Bajaj Auto's total sales including domestic and export stood at 384,621 units in May 2025, which is an 8% increase compared to May 2024.

Exports surged by 22%, driven by a 20% increase in two-wheeler exports and 37% growth in commercial vehicle exports.

Domestic two-wheeler sales saw a modest increase of 2% in May 2025, while domestic commercial vehicle sales declined by 7% during the same period.

On a year-to-date basis (April-May 2025), total sales saw a marginal 1% growth compared to the same period in 2024,according to HDFC Sky.

Bajaj Auto had recently launched the Pulsar 150 in Brazil, aiming to capitalize on the two-wheeler market there.

The company is also slated to introduce up to 5-6 CNG-powered motorcycles by the end of 2025.

Bajaj Auto reappointed Rajiv Bajaj as MD & CEO for a five-year term, effective April 1, 2025.

Bajaj Auto news as of May 1, 2025:

It's important to note that some sources mention events in June and August 2025, but the user specifically requested information as of May 1, 2025. Therefore, only news relevant to May 2025 and preceding months have been included."
