Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
AXISBANK,7,2203,2025-08-21 20:55:49,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,https://www.axisbank.com/docs/default-source/press-releases/press-release-q1fy26.pdf
Link_2,"https://www.axisbank.com/docs/default-source/press-releases/press-release-q1fy26.pdf#:~:text=o%20Axis%20Bank%20continues%20to%20maintain%20its,to%20redefine%20banking%20convenience%2C%20security%2C%20and%20inclusivity."
Link_3,"https://www.axisbank.com/quarterly-results/2025-2026/q1/index.html#:~:text=Key%20domestic%20subsidiaries7%20delivered,6%20ECM%20deals%20in%20Q1FY26"
Link_4,"https://www.kotaksecurities.com/financial-results/axis-bank-ltd-q1fy26-results/#:~:text=What%20were%20the%20key%20highlights,over%2DQuarter%20Growth:%206.8%25"
Link_5,https://www.axisbank.com/media-centre/press-releases
Link_6,"https://m.economictimes.com/wealth/save/axis-bank-revises-atm-transaction-fees-effective-july-1-2025-check-revised-charges/articleshow/121565956.cms#:~:text=%22Beyond%20the%20free%20transactions%2C%20a,)%2C%22%20the%20notification%20states."
Link_7,"https://www.mobikwik.com/blog/axis-bank-credit-cards-major-updates-devaluation-and-revaluation-may2025/#:~:text=Axis%20Bank%20Announces%20Major%20Updates,positively%20restructured%20with%20added%20benefits."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Partnerships and Product Launches:

Axis Bank launched a RuPay-powered cashback credit card in partnership with super.money.

They also signed an MoU with the Indian Army and Common Service Centre e-Governance to support Project NAMAN.

Axis Bank partnered with Antara Senior Care to improve the quality of life for senior citizens.

A High-Performance Shooting Centre was launched in Navi Mumbai in partnership with Lakshya Shooting Club.

CSR Recognition:Axis Bank was honored with the Rotary CSR Award for its transformative education program in Nagaland.

Credit Card Revisions:Axis Bank announced major updates to several credit cards, with devaluations and revaluations coming into effect from June 20, 2025, and some in October 2025.

ATM Transaction Fee Changes (Effective July 1, 2025):The bank revised its ATM transaction fees, impacting savings, NRI, and trust accounts, aligning with RBI's revised ATM interchange fee guidelines effective May 1, 2025.

Strong Market Share:Axis Bank holds a leading position in the UPI Payer PSP space (~32% market share) and in Merchant Acquiring business (~19.7% terminal market share).

Focus on Growth Segments:The bank is focusing on specific segments like Small Business Banking (SBB), Small and Medium Enterprises (SME), and Mid-Corporates (MC) which show healthy growth and contribute significantly to their loan portfolio.

Digital Transformation:Axis Bank has been actively engaged in digital transformation and technological infrastructure upgrades to enhance customer experience and operational efficiency.

Partnerships and Product Launches:Axis Bank launched a RuPay-powered cashback credit card in partnership with super.money.They also signed an MoU with the Indian Army and Common Service Centre e-Governance to support Project NAMAN.Axis Bank partnered with Antara Senior Care to improve the quality of life for senior citizens.A High-Performance Shooting Centre was launched in Navi Mumbai in partnership with Lakshya Shooting Club.

Here are some key updates regarding Axis Bank as on May 1, 2025:

In addition to these specific updates from May 1, 2025, it's worth noting some broader context around Axis Bank's performance and position:"
