Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
NLCINDIA,9,1757,2025-08-21 22:42:23,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,https://www.nlcindia.in/webassets/investor/CorporatePresentation%20_DIPAM_May2025.pdf
Link_2,"https://x.com/nlcindialimited/status/1917775689375441310#:~:text=May%201st%202025%20%2D%20Honouring%20the%20Hands,the%20power%20plants%2C%20your%20unwavering%20spirit%20powers."
Link_3,"https://www.instagram.com/p/DJGFMyGyZjs/#:~:text=May%201st%202025%20%2D%20Honouring%20the,nlcindialtd"
Link_4,"https://www.nlcindia.in/website/en/aboutus/nlcilprojects/futureprojects.html#:~:text=Solar%20in%20Rajastan-,On%2023.10.,2025."
Link_5,"https://www.nlcindia.in/new_website/nlc_corporate_plan.pdf#:~:text=Power%20Generation.%20On%20account%20of%20NLCIL's%20expertise,plans%20to%20set%20up%20lignite%20based%20TPS."
Link_6,"https://www.nlcindia.in/new_website/body.htm#:~:text=Shri%20Prasanna%20Kumar%20outlined%20the,renewable%20power%20project%20in%20Assam."
Link_7,https://www.nlcindia.in/new_website/CORPORATE_PLAN_2022.pdf
Link_8,"https://in.marketscreener.com/quote/stock/NLC-INDIA-LIMITED-6493481/news/NLC-India-Limited-Announces-Board-Changes-Effective-May-1-2025-49869875/#:~:text=NLC%20India%20Limited%20announced%20that,19/05%20CI"
Link_9,"https://www.nlcindia.in/website/en/aboutus/aboutnlc.html#:~:text=Projected%20Capital%20Expenditure%20(up%20to,80:20%20for%20Renewable%20projects.&text=Employment%20Provided%20to%20223%20Persons,with%20reservation%20guidelines%20of%20GOI."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"NLC India projects a capital expenditure of approximately Rs 1.25 Lakh Cr by 2030,according to NLC India.

NLC India plans to further expand its lignite mining capacity by implementing the South Vellar Project, which has an estimated cost of Rs 2,130 Cr.

The company aims to commence commercial operations of NUPPL Unit and Coal Mining from the Machhakata Coal Block in Odisha, which is one of the largest mines in the country.

NLC India plans to develop 2000 MW of renewable power projects in Rajasthan and 1000 MW in Assam.

The company plans to install higher capacity plants in Neyveli Mines to produce M-Sand from overburden, following the success of a pilot plant at Mine-IA.

On May 1, 2025, NLC India Limited announced a change to its Board of Directors. The Ministry of Coal, Government of India, nominated Shri Sanoj Kumar Jha as the Part-time Official Director, replacing Shri Sanjeev Kumar Kassi.

In other updates, NLC India was actively engaged in commemorating International Workers' Day on May 1st, 2025, acknowledging the contributions of its employees to the nation's progress.

NLC India Limited also released a corporate presentation in May 2025 which highlighted the company's strategies and plans, including its focus on diversifying power generation sources (coal, wind, and solar) and expanding its mining operations. The company's goal is to become a significant player in the conventional and non-conventional power generation sectors. Based on information from May 2025 and related updates:

(Note: Please note that while May 1, 2025 is the specific date requested, some search results provide context and relate to events close to this date in May 2025, or represent ongoing projects that were relevant around that time frame.)"
