Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
HEROMOTOCO,14,3038,2025-08-21 21:50:50,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://www.heromotocorp.com/en-in/company/investors/investor-relations.html#:~:text=Investor%20Relations,97.2%20cc"
Link_2,https://www.heromotocorp.com/content/dam/hero-aem-website/in/en-in/company-section/investors/statutory-filings/announcements/2024-2025/Stxintimation07052025.pdf
Link_3,"https://auto.economictimes.indiatimes.com/news/two-wheelers/hero-motocorp-dispatches-5-08-lakh-units-in-may-2025/121559697#:~:text=Company%20posts%20growth%20in%20domestic,eyes%20new%20launch%20in%20July.&text=Hero%20MotoCorp%20reported%20dispatches%20of,over%20100%20outlets%20across%20India."
Link_4,"https://www.angelone.in/news/market-updates/dpiit-and-hero-motocorp-partner-to-accelerate-startup-innovation#:~:text=Accelerate%20Startup%20Innovation-,DPIIT%20and%20Hero%20MotoCorp%20Partner%20to%20Accelerate%20Startup%20Innovation,partners%2C%20along%20with%20expert%20mentorship."
Link_5,"https://www.moneyworks4me.com/company/news/index/id/750758?from=list_page#:~:text=Hero%20MotoCorp%20has%20sold%20507%2C701,manufacturer%20of%20motorcycles%20and%20scooters."
Link_6,https://www.heromotocorp.com/content/dam/hero-aem-website/in/en-in/company-section/press-releases/2025/january-pdf/press_release_hero_motocorp_at_bharat_mobility_2025_170125.pdf
Link_7,"https://www.business-standard.com/markets/capital-market-news/hero-motocorp-dispatches-5-08-lakh-motorcycle-and-scooter-units-in-may-2025-125060200739_1.html#:~:text=Hero%20MotoCorp%20dispatches%205.08%20lakh%20motorcycle%20and%20scooter%20units%20in%20May%202025,-Advertisement&text=Hero%20MotoCorp%20said%20that%20it,of%207.2%25%20indicating%20sustained%20progress."
Link_8,"https://www.jsalaw.com/deals-matter/hero-motocorp-limited-extends-its-partnership-with-harley-davidson-motor-company-inc/#:~:text=work%20and%20advertise.-,Hero%20MotoCorp%20Limited%20extends%20its%20partnership,%2DDavidson%20Motor%20Company%2C%20Inc.&text=JSA%20advised%20Hero%20MotoCorp%20Limited,Singh%20and%20Associate%20%E2%80%93%20Nishka%20Tyagi."
Link_9,"https://www.icicidirect.com/research/equity/trending-news/hero-motocorp-enters-into-collaboration-for-co-development-of-premium-electric-motorcycles#:~:text=News:,launch%20on%20October%207%2C%202022."
Link_10,https://www.heromotocorp.com/content/dam/hero-aem-website/in/en-in/company-section/press-releases/2025/may-pdfs/press_release_hero_motocorp_may_2025_sales_010625.pdf
Link_11,"https://www.moneyworks4me.com/company/news/index/id/750758#:~:text=Hero%20MotoCorp%20has%20sold%20507%2C701,manufacturer%20of%20motorcycles%20and%20scooters."
Link_12,https://www.heromotocorp.com/content/dam/hero-aem-website/in/en-in/company-section/investors/statutory-filings/announcements/2024-2025/StxintimationPR02012025.pdf
Link_13,"https://www.tradingview.com/news/moneycontrol:6b8884e64094b:0-maruti-suzuki-hero-motocorp-among-top-gainers-on-nifty-50/#:~:text=0.02-,The%20company's%20revenue%20has%20consistently%20increased%20over%20the%20years%2C%20with,Rs%2052.31"
Link_14,"https://knnindia.co.in/news/newsdetails/sectors/start-up/dpiit-signs-strategic-partnerships-with-hero-motocorp-and-zepto-to-support-early-stage-startups#:~:text=The%20collaboration%20extends%20beyond%20infrastructure,supporting%20the%20broader%20entrepreneurial%20landscape."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"May 2025 Sales:Hero MotoCorp reported a 1.92% year-on-year increase in dispatches for May 2025, totaling 507,701 units of motorcycles and scooters. Motorcycle sales saw a marginal rise of 0.84%, while scooter sales increased significantly by 20.8%. Domestic sales grew by 2%, and exports saw a slight increase of 0.2%.

Electric Vehicle Segment (VIDA):VIDA dispatched 8,361 units in May 2025 and achieved 7,161 VAHAN registrations for its V2 electric scooter range, securing a 7.2% market share. A new electric product was also launched on July 1, 2025.

Expansion in Premium Segment:Hero MotoCorp is expanding its premium segment presence through Premia outlets, which offer products from brands like Harley-Davidson and VIDA, as well as models such as Mavrick, Xpulse, Karizma, and Xtreme motorcycles. Over 100 Premia outlets are now operational across the country.

Global Presence:The company's global retail performance shows strong momentum, particularly in Bangladesh and Colombia, with steady export growth anticipated.

Partnerships and Collaborations:

Hero MotoCorp is collaborating with Zero Motorcycles to co-develop electric motorcycles.

The partnership with Harley-Davidson has been extended to expand the X440 into new variants and develop a new motorcycle.

A partnership with DPIIT focuses on accelerating startup innovation in future mobility, clean technology, and deep technology, providing startups with access to Hero MotoCorp's resources.

Recognition:Hero MotoCorp received the Sword of Honour from the British Safety Council. The Surge S32 was recognized by TIME Magazine as one of the 100 Best Innovations of 2024 and received other design awards.

Product Strategy:For Calendar Year 2025, Hero MotoCorp plans key product launches, including expanding its EV and premium portfolios, and introducing new ICE scooter models.

Upcoming Products:New products showcased at Bharat Mobility 2025 included the Xtreme 250R, Xpulse 210, Xoom 160, and Xoom 125, with their respective launch prices. An ethanol-based HF Deluxe flex-fuel motorcycle was also showcased.

Investor Relations:The board meeting for Q1 FY26 results is scheduled for May 13, 2025, followed by an earnings conference call on May 14, 2025. In August 2024, the company announced a final and special dividend, and there was a bonus issue and stock split in April 2025.

Partnerships and Collaborations:Hero MotoCorp is collaborating with Zero Motorcycles to co-develop electric motorcycles.The partnership with Harley-Davidson has been extended to expand the X440 into new variants and develop a new motorcycle.A partnership with DPIIT focuses on accelerating startup innovation in future mobility, clean technology, and deep technology, providing startups with access to Hero MotoCorp's resources.

Based on the information available as of May 1, 2025, here's a summary of the latest news and updates related to Hero MotoCorp:

Note: This information is based on the available data as on May 1, 2025, and may not include all subsequent developments."
