Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
SCHAEFFLER,7,1589,2025-08-21 23:09:14,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,https://www.schaeffler.com/en/investor-relations/events-publications/ir-releases/ir_releases_detail.jsp?id=88099009
Link_2,"https://www.schaeffler.co.in/en/news-media/press_releases/#:~:text=Raids%20conducted%20across%20key%20locations,in%20collaboration%20with%20local%20authorities.&text=Schaeffler%20India%2C%20a%20leading%20motion%20technology%20company%2C%20is%20presenting%20its,%2C%20and%20high%2Dperformance%20technologies.&text=Schaeffler%20India%2C%20a%20leading%20motion%20technology%20company%2C%20announces%20its%20participation,unique%20needs%20of%20the...&text=Schaeffler%20India%20has%20announced%20the,advanced%20solutions%20in%20motion%20technology."
Link_3,https://www.schaeffler.co.in/en/news-media/press_releases/press_releases_detail.jsp?id=87603840
Link_4,"https://www.schaeffler.co.in/en/news-media/press_releases/press_releases_detail.jsp?id=88023618#:~:text=Annual%20General%20Meeting%20of%20Schaeffler,AG%20%7C%20Press%20Releases%20%7C%20Schaeffler%20India"
Link_5,https://www.schaeffler.co.in/en/news-media/press_releases/press_releases_detail.jsp?id=88099457#:~:text=Schaeffler%20off%20to%20good%20start%20in%202025%20%7C%20Press%20Releases%20%7C%20Schaeffler%20India
Link_6,"https://www.schaeffler.co.in/en/news-media/press_releases/press_releases_detail.jsp?id=87603776#:~:text=Rosenfeld%20identified%20five%20key%20future,divisions%2C%20functions%2C%20and%20regions."
Link_7,"https://www.schaeffler.co.in/en/news-media/press_releases/press_releases_detail.jsp?id=88080960#:~:text=The%20Schaeffler%20Group's%20sustainability%20statement,will%20continue%20in%20the%20future."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Confirmation of outlook and Q1 performance:Schaeffler confirmed its full-year guidance for 2025, despite the challenges and risks present in the market,according to Schaeffler India. They reported a solid first quarter of 2025, with revenue slightly below the previous year, but a steady EBIT margin before special items at prior year levels. The E-Mobility division showed considerable revenue growth, while other divisions like Powertrain & Chassis, Vehicle Lifetime Solutions, and Bearings & Industrial Solutions also maintained strong EBIT margins.

Confirmation of Vitesco merger:The Annual General Meeting of Schaeffler approved the merger of Vitesco Technologies Group into Schaeffler AG.

Schaeffler India Q1 results:Schaeffler India announced its results for the first quarter ended March 31, 2025, showing continued double-digit YoY growth momentum, backed by volume growth and operational efficiency.

Strengthening anti-counterfeit measures:Schaeffler India continued to prioritize quality and safety by strengthening its anti-counterfeit measures.

Roadmap 2025 and Sustainability:Schaeffler's Roadmap 2025, which focuses on strategy, implementation programs, and medium-term targets, continues to be a key guiding principle for the company's future development. The company also published its first CSRD-compliant sustainability statement, outlining its key areas of focus in 2024 and progress towards its objectives within the Schaeffler Group,according to Schaeffler India.

May 1, 2025 news and updates on Schaeffler:

Based on the information available as on May 1, 2025:"
