Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
BSE,7,1654,2025-08-21 20:56:33,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://www.angelone.in/news/market-updates/are-banks-and-stock-market-open-today-on-may-1-2025#:~:text=Additionally%2C%20electronic%20gold%20receipts%20(EGR,Team%20Angel%20One"
Link_2,"https://www.livemint.com/market/stock-market-news/bse-q4-results-net-profit-skyrockets-364-yoy-to-rs-493-crore-final-dividend-of-rs-23-share-declared-details-here-11746538703188.html#:~:text=Anubhav%20Mukherjee,to%20the%20consolidated%20financial%20statements."
Link_3,https://www.samco.in/knowledge-center/articles/bse-shares-fall-nearly-2-after-sebis-new-fo-expiry-guidelines/
Link_4,"https://www.angelone.in/news/market-updates/stock-markets-nse-bse-and-bank-holiday-tomorrow-on-may-1-2025#:~:text=Indian%20stock%20markets%20will%20be,will%20also%20remain%20shut%20nationwide.&text=Indian%20stock%20exchanges%2C%20including%20NSE,and%20borrowing%20(SLB)%20segments."
Link_5,"https://www.angelone.in/news/market-updates/bse-announced-may-23-as-record-date-for-bonus-issue-allotment-date-set-for-may-26#:~:text=for%20May%2026-,BSE%20Announced%20May%2023%20as%20Record%20Date%20for%20Bonus%20Issue,Date%20Set%20for%20May%2026&text=BSE%20has%20finalised%20May%2023,will%20compute%20the%20eligible%20shareholders.&text=What%20does%20This%20Mean%20for%20Shareholders?"
Link_6,"https://www.livemint.com/market/stock-market-news/bse-q4-results-net-profit-skyrockets-364-yoy-to-rs-493-crore-final-dividend-of-rs-23-share-declared-details-here-11746538703188.html#:~:text=BSE%20(%20Bombay%20Stock%20Exchange%20(BSE%20),core%20operations%20jumped%2075%20per%20cent%20to"
Link_7,"https://www.angelone.in/news/market-updates/bse-announced-may-23-as-record-date-for-bonus-issue-allotment-date-set-for-may-26#:~:text=BSE%20Bonus%20Issue%20Record%20Date%20On%20May,for%20the%20issuance%20of%202:1%20bonus%20issue."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"May 6, 2025:BSE announced its fourth-quarter (January-March 2025) results, with a significant 364% increase in net profits and a final dividend declaration of ₹23 per share (including a special dividend).

May 12, 2025:BSE announced that May 23, 2025 would be the record date for determining eligible shareholders for a 2:1 bonus issue.

May 27, 2025:BSE shares fell after SEBI announced new guidelines regarding F&O expiry schedules.

In relation to BSE Limited on May 1, 2025, the key piece of information is that the Indian stock markets, including the BSE (Bombay Stock Exchange) were closed for trading on May 1st, 2025 due to Maharashtra Day , a public holiday observed in the state of Maharashtra, where the exchange's headquarters are located.

This meant that there were no trading activities in the equity, equity derivatives, SLB (securities lending and borrowing), electronic gold receipts (EGR), and currency derivatives segments of the BSE on this day.

However, the Multi Commodity Exchange (MCX), while closed for the morning session, was open for evening trading in commodities from 5:00 PM to 11:30 PM.

Therefore, there were no significant news or updates regarding trading activity or corporate announcements specifically on May 1, 2025, for BSE Limited as the market was closed. However, there were some relevant announcements related to BSE in late April and early May of 2025:

It's important to note that the provided search results contain information up to the current date (August 21, 2025), so some of the information about BSE's share price performance and corporate actions relates to events that occurred after May 1, 2025."
